DATE,New Hire,Interest rate,CPI,DPI,GDP
12/1/00,4808,5.24,174.6,7579.2,3479.68
1/1/01,7187,5.16,175.6,7658.4,3553.43
2/1/01,4348,5.1,176,7682.3,3553.43
3/1/01,4733,4.89,176.1,7705.5,3553.43
4/1/01,5586,5.14,176.4,7698.3,3532.61
5/1/01,5008,5.39,177.3,7700.9,3532.61
6/1/01,5180,5.28,177.7,7714.9,3532.61
7/1/01,5943,5.24,177.4,7826.1,3532.1
8/1/01,6007,4.97,177.4,7959.9,3532.1
9/1/01,5526,4.73,178.1,7875.6,3532.1
10/1/01,5989,4.57,177.6,7781.1,3553.43
11/1/01,4579,4.65,177.5,7793.9,3553.43
12/1/01,4474,5.09,177.4,7801.7,3553.43
1/1/02,6118,5.04,177.7,7962.4,3596.32
2/1/02,4003,4.91,178,7981.9,3596.32
3/1/02,3894,5.28,178.5,8003.6,3596.32
4/1/02,4994,5.21,179.3,8066.9,3631.07
5/1/02,4583,5.16,179.5,8099.5,3631.07
6/1/02,4722,4.93,179.6,8127.2,3631.07
7/1/02,5725,4.65,180,8117.7,3664.02
8/1/02,5654,4.26,180.5,8127.9,3664.02
9/1/02,5163,3.87,180.8,8145.4,3664.02
10/1/02,5169,3.94,181.2,8183.2,3690.49
11/1/02,4283,4.05,181.5,8215.7,3690.49
12/1/02,4634,4.03,181.8,8250.3,3690.49
1/1/03,5873,4.05,182.6,8273,3727.84
2/1/03,3869,3.9,183.6,8284.1,3727.84
3/1/03,3879,3.81,183.9,8324.3,3727.84
4/1/03,4707,3.96,183.2,8351.2,3770.96
5/1/03,4281,3.57,182.9,8403.6,3770.96
6/1/03,4717,3.33,183.1,8436.3,3770.96
7/1/03,5291,3.98,183.7,8562,3855.78
8/1/03,5520,4.45,184.5,8645.9,3855.78
9/1/03,5061,4.27,185.1,8567,3855.78
10/1/03,5141,4.29,184.9,8599.5,3923.09
11/1/03,4126,4.3,185,8664.8,3923.09
12/1/03,4496,4.27,185.5,8697,3923.09
1/1/04,5544,4.15,186.3,8725.1,3973.39
2/1/04,3719,4.08,186.7,8760.8,3973.39
3/1/04,4145,3.83,187.1,8811.2,3973.39
4/1/04,4833,4.35,187.4,8864.2,4036.33
5/1/04,4302,4.72,188.2,8941.5,4036.33
6/1/04,4868,4.73,188.9,8974.9,4036.33
7/1/04,5425,4.5,189.1,9002.1,4101.11
8/1/04,5866,4.28,189.2,9033.3,4101.11
9/1/04,5126,4.13,189.8,9055.7,4101.11
10/1/04,5125,4.1,190.8,9100.6,4174.14
11/1/04,4501,4.19,191.7,9111.9,4174.14
12/1/04,4770,4.23,191.7,9455.1,4174.14
1/1/05,5903,4.22,191.6,9127.4,4253.78
2/1/05,4041,4.17,192.4,9156.2,4253.78
3/1/05,4352,4.5,193.1,9215.3,4253.78
4/1/05,4880,4.34,193.7,9269.1,4303.34
5/1/05,4773,4.14,193.6,9316,4303.34
6/1/05,5086,4,193.7,9341.7,4303.34
7/1/05,5469,4.18,194.9,9383.8,4380.96
8/1/05,6200,4.26,196.1,9433.4,4380.96
9/1/05,5634,4.2,198.8,9491.5,4380.96
10/1/05,5266,4.46,199.1,9575.6,4444.11
11/1/05,4379,4.54,198.1,9634.6,4444.11
12/1/05,4650,4.47,198.1,9685.4,4444.11
1/1/06,5639,4.42,199.3,9831.1,4534.64
2/1/06,4052,4.57,199.4,9870.8,4534.64
3/1/06,4363,4.72,199.7,9905.7,4534.64
4/1/06,4876,4.99,200.7,9943.2,4583.27
5/1/06,5132,5.11,201.3,9963.6,4583.27
6/1/06,5227,5.11,201.8,10012.1,4583.27
7/1/06,5761,5.09,202.9,10039.4,4622.49
8/1/06,5985,4.88,203.8,10068.2,4622.49
9/1/06,5295,4.72,202.8,10105.2,4622.49
10/1/06,5484,4.73,201.9,10132.4,4679.08
11/1/06,4720,4.6,202,10175.5,4679.08
12/1/06,4750,4.56,203.1,10251.9,4679.08
1/1/07,5719,4.76,203.437,10298.2,4736.19
2/1/07,4140,4.72,204.226,10370.1,4736.19
3/1/07,4466,4.56,205.288,10442.9,4736.19
4/1/07,5004,4.69,205.904,10464.2,4794.12
5/1/07,4854,4.75,206.755,10487,4794.12
6/1/07,5138,5.1,207.234,10492.8,4794.12
7/1/07,5712,5,207.603,10518.5,4845
8/1/07,6106,4.67,207.667,10533.1,4845
9/1/07,5273,4.52,208.547,10597.8,4845
10/1/07,5438,4.53,209.19,10611.1,4893.83
11/1/07,4495,4.15,210.834,10653.9,4893.83
12/1/07,4639,4.1,211.445,10717.3,4893.83
1/1/08,5555,3.74,212.174,10756.7,4883.68
2/1/08,4085,3.74,212.687,10777.4,4883.68
3/1/08,4138,3.51,213.448,10806.4,4883.68
4/1/08,4993,3.68,213.942,10786,4935.2
5/1/08,4523,3.88,215.208,11353.6,4935.2
6/1/08,4930,4.1,217.463,11131.9,4935.2
7/1/08,5188,4.01,219.016,11004,4945.06
8/1/08,5682,3.89,218.69,10931.8,4945.06
9/1/08,4974,3.69,218.877,10974,4945.06
10/1/08,5159,3.81,216.995,10966.3,4853.18
11/1/08,4224,3.53,213.153,10922.7,4853.18
12/1/08,4758,2.42,211.398,10809.4,4853.18
1/1/09,5690,2.52,211.933,10851.7,4798.18
2/1/09,3830,2.87,212.705,10761.6,4798.18
3/1/09,3896,2.82,212.495,10749.3,4798.18
4/1/09,4437,2.93,212.709,10863,4784.28
5/1/09,3947,3.29,213.022,11056.3,4784.28
6/1/09,4217,3.72,214.79,10938.1,4784.28
7/1/09,4662,3.56,214.726,10888,4806.77
8/1/09,4749,3.59,215.445,10891.7,4806.77
9/1/09,4221,3.4,215.861,10930.3,4806.77
10/1/09,4180,3.39,216.509,10925.1,4876.01
11/1/09,3550,3.4,217.234,10982.4,4876.01
12/1/09,3979,3.59,217.347,11047.3,4876.01
1/1/10,4402,3.73,217.488,11070.4,4907.12
2/1/10,3096,3.69,217.281,11066.5,4907.12
3/1/10,3387,3.73,217.353,11116.3,4907.12
4/1/10,3738,3.85,217.403,11213.5,4975.37
5/1/10,3707,3.42,217.29,11306,4975.37
6/1/10,4363,3.2,217.199,11319.7,4975.37
7/1/10,4602,3.01,217.605,11348.2,5026.64
8/1/10,4740,2.7,217.923,11396.3,5026.64
9/1/10,4217,2.65,218.275,11395.7,5026.64
10/1/10,3965,2.54,219.035,11446.1,5080.28
11/1/10,3490,2.76,219.59,11493,5080.28
12/1/10,3942,3.29,220.472,11600.4,5080.28
1/1/11,4399,3.39,221.187,11686.4,5095.28
2/1/11,3091,3.58,221.898,11749.2,5095.28
3/1/11,3423,3.41,223.046,11760.7,5095.28
4/1/11,3767,3.46,224.093,11788.3,5165.4
5/1/11,3967,3.17,224.806,11812.1,5165.4
6/1/11,4188,3,224.806,11865.4,5165.4
7/1/11,4450,3,225.395,11922,5197.28
8/1/11,4888,2.3,226.106,11937.8,5197.28
9/1/11,4374,1.98,226.597,11933.7,5197.28
10/1/11,4171,2.15,226.75,11955.8,5265.49
11/1/11,3604,2.01,227.169,11978.1,5265.49
12/1/11,3876,1.98,227.223,12093.6,5265.49
