DATE,New Hire
12/1/00,4808
1/1/01,7187
2/1/01,4348
3/1/01,4733
4/1/01,5586
5/1/01,5008
6/1/01,5180
7/1/01,5943
8/1/01,6007
9/1/01,5526
10/1/01,5989
11/1/01,4579
12/1/01,4474
1/1/02,6118
2/1/02,4003
3/1/02,3894
4/1/02,4994
5/1/02,4583
6/1/02,4722
7/1/02,5725
8/1/02,5654
9/1/02,5163
10/1/02,5169
11/1/02,4283
12/1/02,4634
1/1/03,5873
2/1/03,3869
3/1/03,3879
4/1/03,4707
5/1/03,4281
6/1/03,4717
7/1/03,5291
8/1/03,5520
9/1/03,5061
10/1/03,5141
11/1/03,4126
12/1/03,4496
1/1/04,5544
2/1/04,3719
3/1/04,4145
4/1/04,4833
5/1/04,4302
6/1/04,4868
7/1/04,5425
8/1/04,5866
9/1/04,5126
10/1/04,5125
11/1/04,4501
12/1/04,4770
1/1/05,5903
2/1/05,4041
3/1/05,4352
4/1/05,4880
5/1/05,4773
6/1/05,5086
7/1/05,5469
8/1/05,6200
9/1/05,5634
10/1/05,5266
11/1/05,4379
12/1/05,4650
1/1/06,5639
2/1/06,4052
3/1/06,4363
4/1/06,4876
5/1/06,5132
6/1/06,5227
7/1/06,5761
8/1/06,5985
9/1/06,5295
10/1/06,5484
11/1/06,4720
12/1/06,4750
1/1/07,5719
2/1/07,4140
3/1/07,4466
4/1/07,5004
5/1/07,4854
6/1/07,5138
7/1/07,5712
8/1/07,6106
9/1/07,5273
10/1/07,5438
11/1/07,4495
12/1/07,4639
1/1/08,5555
2/1/08,4085
3/1/08,4138
4/1/08,4993
5/1/08,4523
6/1/08,4930
7/1/08,5188
8/1/08,5682
9/1/08,4974
10/1/08,5159
11/1/08,4224
12/1/08,4758
1/1/09,5690
2/1/09,3830
3/1/09,3896
4/1/09,4437
5/1/09,3947
6/1/09,4217
7/1/09,4662
8/1/09,4749
9/1/09,4221
10/1/09,4180
11/1/09,3550
12/1/09,3979
1/1/10,4402
2/1/10,3096
3/1/10,3387
4/1/10,3738
5/1/10,3707
6/1/10,4363
7/1/10,4602
8/1/10,4740
9/1/10,4217
10/1/10,3965
11/1/10,3490
12/1/10,3942
1/1/11,4399
2/1/11,3091
3/1/11,3423
4/1/11,3767
5/1/11,3967
6/1/11,4188
7/1/11,4450
8/1/11,4888
9/1/11,4374
10/1/11,4171
11/1/11,3604
12/1/11,3876
1/1/12,4412
2/1/12,3346
3/1/12,3576
4/1/12,4116
5/1/12,4285
6/1/12,4538
7/1/12,4451
8/1/12,5151
9/1/12,4312
10/1/12,4297
11/1/12,3746
12/1/12,3896
1/1/13,4715
2/1/13,3345
3/1/13,3524
4/1/13,4254
5/1/13,4293
6/1/13,4523
7/1/13,4718
8/1/13,5379
9/1/13,4834
10/1/13,4380
11/1/13,3776
12/1/13,4166
1/1/14,4915
2/1/14,3570
3/1/14,3868
4/1/14,4420
5/1/14,4512
6/1/14,4732
7/1/14,5113
8/1/14,5519
9/1/14,5197
10/1/14,5013
11/1/14,4102
12/1/14,4608
1/1/15,5319
2/1/15,3817
3/1/15,4349
4/1/15,4753
5/1/15,4770
6/1/15,5215
7/1/15,5232
8/1/15,5971
9/1/15,5406
10/1/15,5097
11/1/15,4365
12/1/15,4966
1/1/16,5507
2/1/16,4217
3/1/16,4408
4/1/16,4947
5/1/16,5114
6/1/16,5291
7/1/16,5414
8/1/16,6196
9/1/16,5330
10/1/16,5185
11/1/16,4423
12/1/16,4826
1/1/17,5701
2/1/17,4088
3/1/17,4544
4/1/17,4910
5/1/17,5256
6/1/17,5502
7/1/17,5782
8/1/17,6365
9/1/17,5767
10/1/17,5394
11/1/17,4627
12/1/17,5061
1/1/18,5842
2/1/18,4174
3/1/18,4715
4/1/18,5227
5/1/18,5462
6/1/18,5774
7/1/18,6057
8/1/18,6870
9/1/18,6023
